year,industry_code,industry_name_en,variable,mean,n
2005,F,Wholesale/Retail,ROA,0.0441,57
2005,F,Wholesale/Retail,ROE,0.1163,57
2005,J,Finance,SLoan,0.2039,62
2005,J,Finance,LLoan,0.0745,62
2005,J,Finance,Lev,0.6532,62
2005,J,Finance,Cash,0.1198,62
2005,J,Finance,ROA,0.0031,62
2005,J,Finance,ROE,0.0293,62
2007,C,Manufacturing,SLoan,0.1823,897
2007,C,Manufacturing,LLoan,0.0461,890
2007,C,Manufacturing,Lev,0.5362,897
2007,C,Manufacturing,Cash,0.1527,897
2007,C,Manufacturing,ROA,0.0435,897
2007,C,Manufacturing,ROE,0.0953,897
2007,D,Power/Gas/Water,SLoan,0.1526,60
2007,D,Power/Gas/Water,LLoan,0.1769,60
2007,D,Power/Gas/Water,Lev,0.5305,60
2007,D,Power/Gas/Water,Cash,0.0872,60
2007,D,Power/Gas/Water,ROA,0.0381,60
2007,D,Power/Gas/Water,ROE,0.0805,60
2007,G,Transport/Storage,SLoan,0.1712,98
2007,G,Transport/Storage,LLoan,0.0193,97
2007,G,Transport/Storage,Lev,0.6949,98
2007,G,Transport/Storage,Cash,0.2388,98
2007,G,Transport/Storage,ROA,0.058,98
2007,G,Transport/Storage,ROE,0.0308,98
2007,E,Construction,SLoan,0.1432,35
2007,E,Construction,LLoan,0.0631,35
2007,E,Construction,Lev,0.6775,35
2007,E,Construction,Cash,0.1651,35
2007,E,Construction,ROA,0.0285,35
2007,E,Construction,ROE,0.1039,35
2007,K,Real Estate,SLoan,0.13,48
2007,K,Real Estate,LLoan,0.0611,46
2007,K,Real Estate,Lev,0.436,48
2007,K,Real Estate,Cash,0.1819,48
2007,K,Real Estate,ROA,0.0569,48
2007,K,Real Estate,ROE,0.1181,48
2007,F,Wholesale/Retail,SLoan,0.1253,65
2007,F,Wholesale/Retail,LLoan,0.0991,61
2007,F,Wholesale/Retail,Lev,0.4867,65
2007,F,Wholesale/Retail,Cash,0.1355,65
2007,F,Wholesale/Retail,ROA,0.0606,65
2007,F,Wholesale/Retail,ROE,0.1365,65
2007,J,Finance,SLoan,0.0973,74
2007,J,Finance,LLoan,0.1163,74
2007,J,Finance,Lev,0.6192,74
2007,J,Finance,Cash,0.1587,74
2007,J,Finance,ROA,0.05,74
2007,J,Finance,ROE,0.0498,74
2009,C,Manufacturing,SLoan,0.1497,1014
2009,C,Manufacturing,LLoan,0.053,1010
2009,C,Manufacturing,Lev,0.5064,1014
2009,C,Manufacturing,Cash,0.2034,1014
2009,C,Manufacturing,ROA,0.034,1014
2009,C,Manufacturing,ROE,0.047,1014
2009,D,Power/Gas/Water,SLoan,0.1416,64
2009,D,Power/Gas/Water,LLoan,0.2376,64
2009,D,Power/Gas/Water,Lev,0.618,64
2009,D,Power/Gas/Water,Cash,0.0947,64
2009,D,Power/Gas/Water,ROA,0.0199,64
2009,D,Power/Gas/Water,ROE,0.0736,64
2009,G,Transport/Storage,SLoan,0.0904,126
2009,G,Transport/Storage,LLoan,0.0156,125
2009,G,Transport/Storage,Lev,0.4599,126
2009,G,Transport/Storage,Cash,0.3567,126
2009,G,Transport/Storage,ROA,0.0389,126
2009,G,Transport/Storage,ROE,0.1024,126
2009,E,Construction,SLoan,0.1003,42
2009,E,Construction,LLoan,0.0776,42
2009,E,Construction,Lev,0.6809,42
2009,E,Construction,Cash,0.2016,42
2009,E,Construction,ROA,0.0214,42
2009,E,Construction,ROE,0.067,42
2009,K,Real Estate,SLoan,0.1222,57
2009,K,Real Estate,LLoan,0.0661,56
