year,variable,mean,median,std,min,max,n
2000,Lev,0.448,0.426,0.21,0.1006,1.4156,1176
2001,Lev,0.4743,0.4392,0.2882,0.0923,2.3826,1258
2002,Lev,0.4903,0.4571,0.2693,0.0918,2.2024,1319
2003,Lev,0.5143,0.4866,0.3087,0.0741,2.5444,1381
2004,Lev,0.5434,0.5093,0.3651,0.0801,3.1144,1468
2005,Lev,0.5683,0.536,0.3631,0.0779,2.945,1464
2006,Lev,0.5959,0.5443,0.4728,0.0903,3.9719,1547
2007,Lev,0.5678,0.5223,0.409,0.0822,3.5396,1661
2008,Lev,0.5577,0.5174,0.3918,0.0748,3.3842,1717
2009,Lev,0.5303,0.5066,0.3148,0.055,2.2962,1865
2010,Lev,0.4812,0.4647,0.3095,0.0279,2.2445,2220
2011,Lev,0.4516,0.4457,0.2699,0.0315,1.6096,2456
2012,Lev,0.4425,0.4381,0.2397,0.0398,1.1094,2586
2013,Lev,0.4493,0.4407,0.2264,0.0464,0.9451,2640
2014,Lev,0.4492,0.4389,0.2207,0.0545,0.9522,2803
2015,Lev,0.4349,0.4202,0.2158,0.0523,0.9368,3098
2016,Lev,0.4209,0.3996,0.2142,0.0563,0.9351,3435
2017,Lev,0.4184,0.4,0.2109,0.0615,0.9391,3827
2018,Lev,0.4364,0.4198,0.2125,0.0653,0.9723,3930
2019,Lev,0.4364,0.4182,0.2175,0.0609,0.9906,4135
2020,Lev,0.4266,0.4112,0.2185,0.0581,0.9897,4589
2021,Lev,0.4267,0.41,0.218,0.0542,0.9717,5012
2022,Lev,0.4186,0.402,0.2189,0.0529,0.972,5279
2023,Lev,0.4137,0.3965,0.218,0.0495,0.9406,5440
2024,Lev,0.4218,0.4055,0.2194,0.0568,0.9438,5481
2000,SL,0.0181,0.0,0.0369,0.0,0.2189,1156
2001,SL,0.0196,0.0003,0.0379,0.0,0.2186,1235
2002,SL,0.0181,0.0,0.0368,0.0,0.2099,1295
2003,SL,0.0158,0.0,0.0307,0.0,0.1582,1356
2004,SL,0.0176,0.0,0.0363,0.0,0.207,1440
2005,SL,0.0215,0.0001,0.0421,0.0,0.2395,1440
2006,SL,0.0202,0.0,0.0402,0.0,0.2578,1508
2007,SL,0.0173,0.0,0.0321,0.0,0.1762,1587
2008,SL,0.0183,0.0001,0.0335,0.0,0.1769,1628
2009,SL,0.0149,0.0,0.0266,0.0,0.1351,1778
2010,SL,0.0155,0.0,0.0294,0.0,0.1669,2093
2011,SL,0.0192,0.0,0.0362,0.0,0.1896,2350
2012,SL,0.0156,0.0,0.03,0.0,0.156,2583
2013,SL,0.0161,0.0,0.0304,0.0,0.1509,2633
2014,SL,0.0187,0.0001,0.0353,0.0,0.1778,2800
2015,SL,0.0168,0.0001,0.0305,0.0,0.148,3090
2016,SL,0.0293,0.0151,0.037,0.0,0.1921,1904
2017,SL,0.0316,0.0172,0.0379,0.0,0.1894,1987
2018,SL,0.0373,0.0208,0.0476,0.0,0.2791,2166
2019,SL,0.0352,0.019,0.0466,0.0,0.2786,2324
2020,SL,0.031,0.0167,0.0404,0.0,0.2337,2526
2021,SL,0.0221,0.0082,0.0337,0.0,0.1955,4387
2022,SL,0.0221,0.0076,0.0331,0.0,0.1896,4761
2023,SL,0.0228,0.0091,0.0306,0.0001,0.148,4973
2024,SL,0.0252,0.0103,0.0338,0.0,0.1694,5046
2000,LL,0.0583,0.0276,0.0807,-0.0191,0.4363,1165
2001,LL,0.0687,0.0322,0.0983,0.0,0.5392,1249
2002,LL,0.0722,0.0314,0.1115,0.0,0.724,1305
2003,LL,0.0778,0.036,0.1172,0.0,0.7586,1365
2004,LL,0.0853,0.0361,0.1355,0.0,0.9402,1451
2005,LL,0.0896,0.0345,0.1511,0.0,1.0434,1448
